year,actual_real_bn,naive_last_ape_pct,naive_3yr_ape_pct,arima_ape_pct,arimax_ape_pct,arima_order,arimax_exog_cols,arima_forecast_bn,arimax_forecast_bn
2007,1.3987,12.146993636948606,23.87455017754582,23.275627228657,23.275627228657,"(1, 1, 0)",,1.0731438019527746,1.0731438019527746
2008,0.9333,49.86606664523733,30.17607771706133,39.251429720858056,39.251429720858056,"(1, 1, 0)",,1.2996335935847683,1.2996335935847683
2009,2.2859,59.17144232031147,48.075885500969704,46.488854425806075,46.488854425806075,"(1, 1, 0)",,1.2232112766804988,1.2232112766804988
2010,2.3982,4.682678675673434,35.81436077057794,56.56395295565333,56.56395295565333,"(1, 1, 0)",,1.041683280217522,1.041683280217522
2011,2.5286,5.157003875662416,25.94848269134435,6.974671729869575,6.974671729869575,"(1, 1, 0)",,2.352238450638518,2.352238450638518
2012,2.4107,4.890695648566811,0.2682485032009955,2.677988600895951,2.677988600895951,"(1, 1, 0)",,2.4752582712017985,2.4752582712017985
2013,1.6325,47.66921898928023,49.821337417049506,50.555486629185275,50.555486629185275,"(1, 1, 0)",,2.4578183192214498,2.4578183192214498
2014,1.3622,19.842901189252675,60.81339010424311,39.462243845316095,39.462243845316095,"(1, 1, 0)",,1.899754685660896,1.899754685660896
2015,1.7384,21.640589047399903,3.6470317533364085,17.253308702306054,17.253308702306054,"(1, 1, 0)",,1.4384684815191116,1.4384684815191116
2016,1.8228,4.630239192451175,13.446346280447658,11.882246319779009,11.882246319779009,"(1, 1, 0)",,1.6062104140830682,1.6062104140830682
2017,2.6716,31.771223237011537,38.571143384738235,33.771160478880915,33.771160478880915,"(0, 1, 1)",,1.7693696766462175,1.7693696766462175
2018,6.7009,60.13072870808398,68.99520959871063,64.34646554000673,64.34646554000673,"(1, 1, 0)",,2.389107690629688,2.389107690629688
2019,8.7885,23.753769130113227,57.53807058466557,27.71707520845218,21.20915261753575,"(1, 1, 0)",dummy_post_2018_inflection,6.352584845305181,6.924533622207871
2020,7.0684,24.33506875672007,14.355912700658314,26.313491627950793,13.502079432540828,"(1, 1, 0)",dummy_post_2018_inflection,8.928342842230073,8.022780982609715
2021,9.8664,28.358874564177416,23.78915646368821,28.891421250198086,16.15780244906753,"(1, 1, 0)","dummy_post_2018_inflection,dummy_covid_shock_2020",7.015856813770457,8.272206579165202
2022,11.8095,16.453702527626056,27.393764906784085,16.270000318337274,24.297230654607155,"(1, 1, 0)","dummy_post_2018_inflection,dummy_covid_shock_2020,dummy_global_chip_shortage_2021,dummy_pli_scheme_launch",9.88809431240596,8.940118545844168
2023,12.7337,7.257906185947531,24.755308093222453,6.793159640463759,6.9276583697063,"(1, 1, 0)","dummy_post_2018_inflection,dummy_covid_shock_2020,dummy_global_chip_shortage_2021,dummy_pli_scheme_launch",11.868679430862267,11.85155276617671
2024,14.5977,12.7691348637114,21.426891450936335,12.55640809808806,12.87432800118064,"(1, 1, 0)","dummy_post_2018_inflection,dummy_covid_shock_2020,dummy_global_chip_shortage_2021,dummy_pli_scheme_launch,dummy_micron_mou_2023",12.764753215065399,12.718344221371654
