year,arima_forecast_bn,ci_lower_bn,ci_upper_bn,order,aic
2025,14.669559918549895,7.795416040062762,27.605452627284407,"(1, 1, 0)",21.25
2026,14.67214954870356,5.90393334335646,36.46246660656526,"(1, 1, 0)",21.25
2027,14.672242643252813,4.777966468878423,45.05571681691181,"(1, 1, 0)",21.25
